 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 24   # Spanwise = 80     First strip =  1
     Surface area =   15.071648       Ave. chord =    0.882932
     CLsurf  =       NaN     Clsurf  =       NaN
     CYsurf  =       NaN     Cmsurf  =       NaN
     CDsurf  =       NaN     Cnsurf  =       NaN
     CDisurf =       NaN     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =       NaN     CDsurf  =       NaN
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    89  -0.4579   0.9170   0.0979   0.9271   0.0093   1.0132   1.0132   0.0040   0.0000  -0.1263   0.3791    0.375
    90  -0.5706   0.9170   0.1089   0.9271   0.0092   1.0126   1.0126   0.0122   0.0000  -0.1263   0.3791    0.375
    91  -0.6953   0.9170   0.1197   0.9270   0.0092   1.0134   1.0134   0.0008   0.0000  -0.1263   0.3791    0.375
    92  -0.8316   0.9170   0.1304   0.9270   0.0092   1.0121   1.0121   0.0184   0.0000  -0.1263   0.3791    0.375
    93  -0.9795   0.9170   0.1408   0.9270   0.0093   1.0133   1.0133   0.0014   0.0000  -0.1263   0.3791    0.375
    94  -1.1387   0.9170   0.1510   0.9270   0.0093   1.0143   1.0143  -0.0141   0.0000  -0.1263   0.3790    0.375
    95  -1.3089   0.9170   0.1610   0.9269   0.0093   1.0135   1.0135  -0.0029   0.0000  -0.1263   0.3790    0.375
    96  -1.4899   0.9170   0.1708   0.9269   0.0093   1.0131   1.0131   0.0016   0.0000  -0.1263   0.3790    0.375
    97  -1.6813   0.9170   0.1803   0.9268   0.0093   1.0133   1.0133  -0.0015   0.0000  -0.1263   0.3790    0.375
    98  -1.8830   0.9170   0.1895   0.9268   0.0093   1.0129   1.0129   0.0029   0.0000  -0.1263   0.3790    0.375
    99  -2.0946   0.9170   0.1984   0.9267   0.0094   1.0143   1.0143  -0.0175   0.0000  -0.1263   0.3790    0.375
   100  -2.3157   0.9170   0.2070   0.9266   0.0094   1.0131   1.0131  -0.0019   0.0000  -0.1263   0.3789    0.375
   101  -2.5460   0.9170   0.2153   0.9265   0.0094   1.0130   1.0130  -0.0019   0.0000  -0.1263   0.3789    0.375
   102  -2.7852   0.9170   0.2233   0.9264   0.0095   1.0117   1.0117   0.0146   0.0000  -0.1263   0.3789    0.375
   103  -3.0329   0.9170   0.2309   0.9263   0.0095   1.0114   1.0114   0.0177   0.0000  -0.1263   0.3789    0.375
   104  -3.2887   0.9170   0.2382   0.9262   0.0095   1.0110   1.0110   0.0205   0.0000  -0.1263   0.3788    0.375
   105  -3.5523   0.9170   0.2451   0.9260   0.0096   1.0112   1.0112   0.0159   0.0000  -0.1263   0.3788    0.375
   106  -3.8231   0.9170   0.2516   0.9259   0.0096   1.0125   1.0125  -0.0057   0.0000  -0.1263   0.3787    0.375
   107  -4.1009   0.9170   0.2577   0.9257   0.0097   1.0104   1.0104   0.0227   0.0000  -0.1263   0.3787    0.375
   108  -4.3851   0.9170   0.2634   0.9255   0.0097   1.0102   1.0102   0.0222   0.0000  -0.1263   0.3786    0.375
   109  -4.6753   0.9170   0.2688   0.9254   0.0098   1.0116   1.0116  -0.0006   0.0000  -0.1263   0.3786    0.375
   110  -4.9711   0.9170   0.2737   0.9252   0.0098   1.0111   1.0111   0.0043   0.0000  -0.1264   0.3786    0.375
   111  -5.2824   0.9170   0.2972   0.9253   0.0100   1.0112   1.0112   0.0046   0.0000  -0.1265   0.3788    0.375
   112  -5.6090   0.9170   0.3015   0.9254   0.0103   1.0115   1.0115   0.0017   0.0000  -0.1268   0.3791    0.375
   113  -5.9400   0.9170   0.3054   0.9257   0.0105   1.0091   1.0091   0.0403   0.0000  -0.1272   0.3795    0.376
   114  -6.2749   0.9170   0.3088   0.9259   0.0108   1.0106   1.0106   0.0219   0.0000  -0.1275   0.3800    0.376
   115  -6.6134   0.9170   0.3117   0.9261   0.0111   1.0123   1.0123   0.0017   0.0000  -0.1279   0.3804    0.376
   116  -6.9547   0.9170   0.3142   0.9263   0.0113   1.0114   1.0114   0.0161   0.0000  -0.1282   0.3808    0.377
   117  -7.2985   0.9170   0.3161   0.9264   0.0116   1.0130   1.0130  -0.0046   0.0000  -0.1286   0.3811    0.377
   118  -7.6441   0.9170   0.3176   0.9264   0.0120   1.0124   1.0124   0.0055   0.0000  -0.1289   0.3815    0.377
   119  -7.9911   0.9170   0.3186   0.9263   0.0122   1.0117   1.0117   0.0131   0.0000  -0.1293   0.3818    0.378
   120  -8.3388   0.9170   0.3191   0.9263   0.0127   1.0115   1.0115   0.0154   0.0000  -0.1297   0.3822    0.378
   121  -8.6869   0.9170   0.3191   0.9261   0.0130   1.0129   1.0129  -0.0072   0.0000  -0.1300   0.3825    0.378
   122  -9.0346   0.9170   0.3186   0.9259   0.0135   1.0102   1.0102   0.0294   0.0000  -0.1304   0.3828    0.379
   123  -9.3816   0.9170   0.3176   0.9256   0.0139   1.0123   1.0123  -0.0058   0.0000  -0.1307   0.3831    0.379
   124  -9.7272   0.9170   0.3161   0.9253   0.0143   1.0104   1.0104   0.0162   0.0000  -0.1311   0.3834    0.380
   125 -10.0710   0.9170   0.3142   0.9250   0.0147   1.0108   1.0108   0.0056   0.0000  -0.1316   0.3838    0.380
   126 -10.4045   0.9170   0.2974   0.9251   0.0155   1.0106   1.0106   0.0105   0.0000  -0.1325   0.3847    0.381
   127 -10.7273   0.9170   0.2946   0.9258   0.0167   1.0108   1.0108   0.0167   0.0000  -0.1338   0.3862    0.382
   128 -11.0468   0.9170   0.2913      NaN   0.0179      NaN      NaN      NaN   0.0000      NaN      NaN
   129 -11.3626   0.9170   0.2876   0.9266   0.0191   1.0146   1.0146  -0.0240   0.0000  -0.1366   0.3893    0.385
   130 -11.6741   0.9170   0.2835   0.9267   0.0206   1.0123   1.0123   0.0105   0.0000  -0.1381   0.3907    0.386
   131 -11.9808   0.9170   0.2789   0.9261   0.0219   1.0102   1.0102   0.0314   0.0000  -0.1393   0.3918    0.388
   132 -12.2823   0.9170   0.2739   0.9251   0.0234   1.0109   1.0109   0.0050   0.0000  -0.1406   0.3928    0.389
   133 -12.5781   0.9170   0.2685   0.9234   0.0251   1.0069   1.0069   0.0358   0.0000  -0.1419   0.3936    0.391
   134 -12.8678   0.9170   0.2626   0.9210   0.0270   1.0070   1.0070  -0.0021   0.0000  -0.1431   0.3942    0.392
   135 -13.1508   0.9170   0.2564   0.9177   0.0291   1.0041   1.0041  -0.0124   0.0000  -0.1442   0.3944    0.394
   136 -13.4269   0.9170   0.2498   0.9134   0.0315   0.9981   0.9981   0.0059   0.0000  -0.1453   0.3943    0.396
   137 -13.6955   0.9170   0.2427   0.9080   0.0342   0.9917   0.9917   0.0117   0.0000  -0.1462   0.3938    0.397
   138 -13.9562   0.9170   0.2353   0.9011   0.0374   0.9828   0.9828   0.0320   0.0000  -0.1471   0.3927    0.400
   139 -14.2086   0.9170   0.2276   0.8924   0.0411   0.9745   0.9745   0.0149   0.0000  -0.1477   0.3910    0.402
   140 -14.4524   0.9170   0.2195   0.8814   0.0456   0.9625   0.9625   0.0150   0.0000  -0.1481   0.3884    0.404
   141 -14.6872   0.9170   0.2110   0.8676   0.0513   0.9467   0.9467   0.0248   0.0000  -0.1479   0.3845    0.406
   142 -14.9126   0.9170   0.2022   0.8494   0.0598   0.9276   0.9276   0.0131   0.0000  -0.1465   0.3780    0.408
   143 -15.1294   0.8872   0.1889   0.8192   0.0592   0.9240   0.9240   0.0241   0.0000  -0.1463   0.3763    0.408
   144 -15.3372   0.8296   0.1681   0.7789   0.0511   0.9394   0.9394   0.0236   0.0000  -0.1482   0.3820    0.408
   145 -15.5345   0.7750   0.1488   0.7362   0.0461   0.9506   0.9506   0.0223   0.0000  -0.1490   0.3856    0.407
   146 -15.7210   0.7234   0.1309   0.6928   0.0426   0.9585   0.9585   0.0219   0.0000  -0.1494   0.3879    0.406
   147 -15.8965   0.6748   0.1146   0.6493   0.0403   0.9630   0.9630   0.0215   0.0000  -0.1494   0.3890    0.405
   148 -16.0605   0.6294   0.0996   0.6061   0.0389   0.9640   0.9640   0.0169   0.0000  -0.1494   0.3892    0.405
   149 -16.2129   0.5872   0.0860   0.5633   0.0386   0.9601   0.9601   0.0211   0.0000  -0.1491   0.3880    0.405
   150 -16.3535   0.5483   0.0738   0.5210   0.0394   0.9509   0.9509   0.0215   0.0000  -0.1485   0.3851    0.406
   151 -16.4819   0.5128   0.0627   0.4790   0.0417   0.9348   0.9348   0.0230   0.0000  -0.1477   0.3803    0.408
   152 -16.5981   0.4806   0.0529   0.4368   0.0442   0.9093   0.9093   0.0243   0.0000  -0.1456   0.3719    0.410
   153 -16.7019   0.4519   0.0440   0.3947   0.0507   0.8737   0.8737   0.0270   0.0000  -0.1442   0.3617    0.415
   154 -16.7930   0.4267   0.0362   0.3515   0.0580   0.8243   0.8243   0.0212   0.0000  -0.1452   0.3503    0.426
   155 -16.8714   0.4050   0.0291   0.3067   0.0689   0.7571   0.7571   0.0308   0.0000  -0.1336   0.3221    0.426
   156 -16.9369   0.3869   0.0228   0.2593   0.0818   0.6699   0.6699   0.0302   0.0000  -0.1222   0.2891    0.432
   157 -16.9894   0.3723   0.0171   0.2086   0.0986   0.5597   0.5597   0.0285   0.0000  -0.1062   0.2457    0.440
   158 -17.0288   0.3614   0.0119   0.1535   0.1142   0.4240   0.4240   0.0253   0.0000  -0.0831   0.1889    0.446
   159 -17.0552   0.3541   0.0070   0.0942   0.1265   0.2655   0.2655   0.0155   0.0000  -0.0544   0.1206    0.455
   160 -17.0684   0.3505   0.0023   0.0317   0.1324   0.0904   0.0904   0.0057   0.0000  -0.0189   0.0415    0.460
 ---------------------------------------------------------------
