# CP-F1,   ALPHA= 30 DEG.,  RE= 43 MIO.
# 
# NOMENCLATURE:
# ALPHA     MODEL INCIDENCE
# RE        REYNOLDS NUMBER BASED ON MODEL LENGTH
# DPN       DATA POINT NUMBER
# PHI       CIRCUMFERENTIAL MODEL ANGLE
# I         NUMBER OF PRESSURE TAP
# X0/L      X-LOCATION OF PRESSURE TAP
# CP        PRESSURE COEFFICIENT
# 
# DPN    PHI  I   X0/L     CP
100296  30.3 30  0.6478 -0.0782
100296  30.3 31  0.6894 -0.0969
100296  30.3 32  0.7309 -0.1172
100296  30.3 33  0.7725 -0.1796
100296  30.3 34  0.8139 -0.1464
100296  30.5 35  0.8346 -0.1707
100296  30.3 36  0.8552 -0.1747
100296  30.3 37  0.8758 -0.1832
100296  30.3 38  0.9166 -0.1724
100296  30.3 39  0.9365 -0.1705
100296  30.3 40  0.9544 -0.1097
100296  30.3 41  0.9717  0.1136
100297  35.2  1  0.0000  0.1092
100297  35.2  2  0.0006  0.4724
100297  35.2  3  0.0022  0.6749
100297  35.2  4  0.0046  0.7135
100297  35.2  5  0.0074  0.7048
100297  35.2  6  0.0105  0.6582
100297  35.2  7  0.0137  0.6246
100297  35.2  8  0.0172  0.5900
100297  35.2  9  0.0208  0.5438
100297  35.2 10  0.0282  0.4854
100297  35.2 11  0.0358  0.4341
100297  35.2 12  0.0435  0.3944
100297  35.2 13  0.0555  0.3207
100297  35.2 14  0.0674  0.2862
100297  35.2 15  0.0876  0.2393
100297  35.2 16  0.1079  0.1983
100297  35.2 17  0.1284  0.1690
100297  35.2 18  0.1489  0.1264
100297  35.2 19  0.1901  0.0953
100297  35.2 20  0.2315  0.0453
100297  35.2 21  0.2728  0.0054
100297  35.3 22  0.3145 -0.0087
100297  35.2 23  0.3561 -0.0326
100297  35.2 24  0.3978 -0.0562
100297  35.2 25  0.4394 -0.0855
100297  35.2 26  0.4811 -0.1288
100297  35.2 27  0.5228 -0.1234
100297  35.2 28  0.5644 -0.1204
100297  35.2 29  0.6061 -0.1293
100297  35.2 30  0.6478 -0.1511
100297  35.2 31  0.6894 -0.1670
100297  35.2 32  0.7309 -0.1879
100297  35.2 33  0.7725 -0.2407
100297  35.2 34  0.8139 -0.2057
100297  35.2 35  0.8346 -0.2250
100297  35.2 36  0.8552 -0.2223
100297  35.3 37  0.8758 -0.2383
100297  35.4 38  0.9166 -0.2200
100297  35.3 39  0.9365 -0.2048
100297  35.2 40  0.9544 -0.1288
100297  35.2 41  0.9717  0.0889
100298  35.2  1  0.0000  0.1070
100298  35.2  2  0.0006  0.4740
100298  35.2  3  0.0022  0.6767
100298  35.2  4  0.0046  0.7121
100298  35.3  5  0.0074  0.6992
100298  35.3  6  0.0105  0.6522
100298  35.2  7  0.0137  0.6161
100298  35.2  8  0.0172  0.5887
100298  35.2  9  0.0208  0.5403
100298  35.2 10  0.0282  0.4805
100298  35.2 11  0.0358  0.4283
100298  35.2 12  0.0435  0.3902
100298  35.2 13  0.0555  0.3227
100298  35.2 14  0.0674  0.2695
100298  35.2 15  0.0876  0.2283
100298  35.2 16  0.1079  0.1928
100298  35.2 17  0.1284  0.1638
100298  35.2 18  0.1489  0.1233
100298  35.2 19  0.1901  0.0871
100298  35.2 20  0.2315  0.0471
100298  35.2 21  0.2728 -0.0020
100298  35.2 22  0.3145 -0.0115
100298  35.2 23  0.3561 -0.0363
100298  35.2 24  0.3978 -0.0575
100298  35.2 25  0.4394 -0.0869
100298  35.2 26  0.4811 -0.1355
100298  35.2 27  0.5228 -0.1241
100298  35.2 28  0.5644 -0.1296
100298  35.2 29  0.6061 -0.1360
100298  35.2 30  0.6478 -0.1583
100298  35.2 31  0.6894 -0.1661
100298  35.2 32  0.7309 -0.1909
100298  35.2 33  0.7725 -0.2349
100298  35.2 34  0.8139 -0.2099
100298  35.2 35  0.8346 -0.2253
100298  35.2 36  0.8552 -0.2296
100298  35.2 37  0.8758 -0.2391
100298  35.3 38  0.9166 -0.2140
100298  35.2 39  0.9365 -0.1993
100298  35.3 40  0.9544 -0.1235
100298  35.2 41  0.9717  0.0913
100299  40.4  1  0.0000  0.1177
100299  40.3  2  0.0006  0.4434
100299  40.2  3  0.0022  0.6202
100299  40.2  4  0.0046  0.6374
100299  40.2  5  0.0074  0.6140
100299  40.2  6  0.0105  0.5626
100299  40.2  7  0.0137  0.5233
100299  40.2  8  0.0172  0.4967
100299  40.2  9  0.0208  0.4416
100299  40.2 10  0.0282  0.3802
100299  40.2 11  0.0358  0.3334
100299  40.2 12  0.0435  0.2930
100299  40.2 13  0.0555  0.2203
100299  40.2 14  0.0674  0.1824
100299  40.2 15  0.0876  0.1411
100299  40.2 16  0.1079  0.1038
100299  40.2 17  0.1284  0.0685
100299  40.4 18  0.1489  0.0317
100299  40.3 19  0.1901  0.0021
100299  40.2 20  0.2315 -0.0374
100299  40.2 21  0.2728 -0.0823
100299  40.2 22  0.3145 -0.0969
100299  40.2 23  0.3561 -0.1165
100299  40.2 24  0.3978 -0.1390
100299  40.2 25  0.4394 -0.1719
100299  40.2 26  0.4811 -0.2097
100299  40.2 27  0.5228 -0.2015
100299  40.2 28  0.5644 -0.2015
100299  40.2 29  0.6061 -0.2025
100299  40.2 30  0.6478 -0.2248
100299  40.2 31  0.6894 -0.2333
100299  40.2 32  0.7309 -0.2543
100299  40.2 33  0.7725 -0.3039
100299  40.2 34  0.8139 -0.2701
100299  40.2 35  0.8346 -0.2811
100299  40.2 36  0.8552 -0.2721
100299  40.3 37  0.8758 -0.2855
100299  40.2 38  0.9166 -0.2550
100299  40.2 39  0.9365 -0.2191
100299  40.2 40  0.9544 -0.1460
100299  40.2 41  0.9717  0.0581
