# CP-NWG,  ALPHA= 10 DEG., RE= 7.7 MIO.
# 
# NOMENCLATURE:
# ALPHA     MODEL INCIDENCE
# RE        REYNOLDS NUMBER BASED ON MODEL LENGTH
# DPN       DATA POINT NUMBER
# PHI       CIRCUMFERENTIAL MODEL ANGLE
# I         NUMBER OF PRESSURE TAP
# X0/L      X-LOCATION OF PRESSURE TAP
# CP        PRESSURE COEFFICIENT
# 
# DPN    PHI  I   X0/L     CP
410208  14.4 25  0.4394 -0.0274
410208  14.4 26  0.4811 -0.0382
410208  14.4 27  0.5228 -0.0497
410208  14.4 28  0.5644 -0.0590
410208  14.4 29  0.6061 -0.0625
410208  14.4 30  0.6478 -0.0686
410208  14.4 31  0.6894 -0.0811
410208  14.4 32  0.7309 -0.0806
410208  14.4 33  0.7725 -0.0859
410208  14.4 34  0.8139 -0.0901
410208  14.4 35  0.8346 -0.0952
410208  14.4 36  0.8552 -0.0889
410208  14.4 37  0.8758 -0.0854
410208  14.4 38  0.8962 -0.0820
410208  14.4 39  0.9166 -0.0650
410208  14.4 40  0.9365 -0.0326
410208  14.4 41  0.9544  0.0402
410208  14.4 42  0.9717  0.2115
410209  19.2  1  0.0000  0.9026
410209  19.2  2  0.0006  0.9898
410209  19.2  3  0.0022  0.9465
410209  19.2  4  0.0046  0.8393
410209  19.2  5  0.0074  0.7331
410209  19.2  6  0.0105  0.6305
410209  19.2  7  0.0137  0.5681
410209  19.2  8  0.0172  0.5092
410209  19.2  9  0.0208  0.4583
410209  19.2 10  0.0282  0.3842
410209  19.2 11  0.0358  0.3257
410209  19.2 12  0.0435  0.2822
410209  19.2 13  0.0555  0.2295
410209  19.2 14  0.0674  0.1806
410209  19.2 15  0.0876  0.1581
410209  19.2 16  0.1079  0.1272
410209  19.2 17  0.1284  0.0964
410209  19.2 18  0.1489  0.0777
410209  19.2 19  0.1901  0.0564
410209  19.2 20  0.2315  0.0365
410209  19.2 21  0.2728  0.0185
410209  19.2 22  0.3145 -0.0019
410209  19.2 23  0.3561 -0.0117
410209  19.2 24  0.3978 -0.0214
410209  19.2 25  0.4394 -0.0310
410209  19.2 26  0.4811 -0.0422
410209  19.2 27  0.5228 -0.0526
410209  19.2 28  0.5644 -0.0639
410209  19.2 29  0.6061 -0.0674
410209  19.2 30  0.6478 -0.0716
410209  19.2 31  0.6894 -0.0848
410209  19.2 32  0.7309 -0.0846
410209  19.2 33  0.7725 -0.0893
