# CP-NWG,  ALPHA= 29.7 DEG., RE= 6.5 MIO.
# 
# NOMENCLATURE:
# ALPHA     MODEL INCIDENCE
# RE        REYNOLDS NUMBER BASED ON MODEL LENGTH
# DPN       DATA POINT NUMBER
# PHI       CIRCUMFERENTIAL MODEL ANGLE
# I         NUMBER OF PRESSURE TAP
# X0/L      X-LOCATION OF PRESSURE TAP
# CP        PRESSURE COEFFICIENT
# 
# DPN    PHI  I   X0/L     CP
200415  40.0 36  0.8554 -0.2664
200415  40.0 37  0.8758 -0.2769
200415  40.0 38  0.8962 -0.2773
200415  40.0 39  0.9167 -0.2708
200415  40.0 40  0.9367 -0.2344
200415  40.0 41  0.9542 -0.1885
200415  40.0 42  0.9717  0.0070
200416  44.8  1  0.0000  0.1105
200416  44.8  2  0.0006  0.3935
200416  44.8  3  0.0022  0.5539
200416  44.8  4  0.0046  0.5603
200416  44.8  5  0.0074  0.5390
200416  44.8  6  0.0105  0.4783
200416  44.8  7  0.0137  0.4346
200416  44.8  8  0.0172  0.4070
200416  44.8  9  0.0208  0.3639
200416  44.8 10  0.0282  0.2988
200416  44.8 11  0.0358  0.2439
200416  44.8 12  0.0435  0.1943
200416  44.8 13  0.0555  0.1334
200416  44.8 14  0.0674  0.0877
200416  44.8 15  0.0876  0.0524
200416  44.8 16  0.1079  0.0135
200416  44.8 17  0.1284 -0.0198
200416  44.8 18  0.1489 -0.0529
200416  44.8 19  0.1901 -0.0895
200416  44.8 20  0.2315 -0.1174
200416  44.8 21  0.2728 -0.1467
200416  44.8 22  0.3145 -0.1676
200416  44.8 23  0.3561 -0.1872
200416  44.8 24  0.3978 -0.2001
200416  44.8 25  0.4396 -0.2159
200416  44.8 26  0.4812 -0.2327
200416  44.8 27  0.5229 -0.2444
200416  44.8 28  0.5646 -0.2618
200416  44.8 29  0.6062 -0.2650
200416  44.8 30  0.6479 -0.2775
200416  44.8 31  0.6892 -0.2875
200416  44.8 32  0.7308 -0.2980
200416  44.8 33  0.7725 -0.3080
200416  44.8 34  0.8137 -0.3151
200416  44.8 35  0.8346 -0.3193
200416  44.8 36  0.8554 -0.3141
200416  44.8 37  0.8758 -0.3175
200416  44.8 38  0.8962 -0.3156
200416  44.8 39  0.9167 -0.3019
200416  44.8 40  0.9367 -0.2643
200416  44.8 41  0.9542 -0.2031
200416  44.8 42  0.9717 -0.0193
200417  49.6  1  0.0000  0.1121
200417  49.6  2  0.0006  0.3604
200417  49.6  3  0.0022  0.4959
200417  49.6  4  0.0046  0.4706
200417  49.6  5  0.0074  0.4494
200417  49.6  6  0.0105  0.3934
200417  49.6  7  0.0137  0.3355
200417  49.6  8  0.0172  0.3059
200417  49.6  9  0.0208  0.2582
200417  49.6 10  0.0282  0.1982
200417  49.6 11  0.0358  0.1453
200417  49.6 12  0.0435  0.0954
200417  49.6 13  0.0555  0.0439
200417  49.6 14  0.0674 -0.0075
200417  49.6 15  0.0876 -0.0401
200417  49.6 16  0.1079 -0.0839
200417  49.6 17  0.1284 -0.1110
200417  49.6 18  0.1489 -0.1409
200417  49.6 19  0.1901 -0.1757
200417  49.6 20  0.2315 -0.2008
200417  49.6 21  0.2728 -0.2259
200417  49.6 22  0.3145 -0.2511
200417  49.6 23  0.3561 -0.2663
200417  49.6 24  0.3978 -0.2767
200417  49.6 25  0.4396 -0.2908
200417  49.6 26  0.4812 -0.3020
200417  49.6 27  0.5229 -0.3153
200417  49.6 28  0.5646 -0.3256
200417  49.6 29  0.6062 -0.3272
200417  49.6 30  0.6479 -0.3370
200417  49.6 31  0.6892 -0.3425
200417  49.6 32  0.7308 -0.3501
200417  49.6 33  0.7725 -0.3575
200417  49.6 34  0.8137 -0.3637
200417  49.6 35  0.8346 -0.3639
200417  49.6 36  0.8554 -0.3564
200417  49.6 37  0.8758 -0.3483
200417  49.6 38  0.8962 -0.3429
200417  49.6 39  0.9167 -0.3256
200417  49.6 40  0.9367 -0.2772
